RA,r2_ra,mae_ra,rmse_ra,config,modelo
AGUA QUENTE,-0.32269974453104044,0.04832793439256861,0.15794736288386899,lag-only,RF
ARAPOANGA,-0.10620203718944499,1.0412627101575647,1.381760532783008,lag-only,RF
ARNIQUEIRA,-0.510885758963262,0.5966026319762258,0.8253047088749731,lag-only,RF
BRAZLÂNDIA,,0.008902488912592507,0.00890248891259251,lag-only,RF
CANDANGOLÂNDIA,,0.008902488912592507,0.00890248891259251,lag-only,RF
CEILÂNDIA,,0.008902488912592507,0.00890248891259251,lag-only,RF
CRUZEIRO,0.021558734360271448,1.1175759799673295,1.466572162023083,lag-only,RF
FERCAL,0.10343875675232694,0.8456528237261348,1.3551966502791515,lag-only,RF
GAMA,-0.026795321765169522,2.57578130744803,3.442701716970551,lag-only,RF
GUARÁ,,0.008902488912592507,0.00890248891259251,lag-only,RF
ITAPOÃ,,0.008902488912592507,0.00890248891259251,lag-only,RF
JARDIM BOTÂNICO,,0.008902488912592507,0.00890248891259251,lag-only,RF
LAGO NORTE,-0.7282449727063245,1.8132189720548502,2.2695506810872867,lag-only,RF
LAGO SUL,0.004027975839697051,1.2559096218815897,1.5810993160862457,lag-only,RF
NÚCLEO BANDEIRANTE,,0.008902488912592507,0.00890248891259251,lag-only,RF
PARANOÁ,,0.008902488912592507,0.00890248891259251,lag-only,RF
PARK WAY,-0.07848375634543903,0.4620088402049395,0.6119786294491847,lag-only,RF
PLANALTINA,0.26582196352438014,2.0495362624425004,2.7316774611306527,lag-only,RF
PLANO PILOTO,0.6365270325371915,2.70662712530221,3.4196358462801033,lag-only,RF
RECANTO DAS EMAS,-0.792593189989216,1.5092974950912672,1.8981796000978373,lag-only,RF
RIACHO FUNDO,0.49903938544409276,0.5619144457958997,0.7553944786368917,lag-only,RF
RIACHO FUNDO II,-0.2506807558690638,1.0214684398027465,1.429657117955432,lag-only,RF
SAMAMBAIA,-0.5427995575091886,1.7992559318686718,2.332079901076827,lag-only,RF
SANTA MARIA,0.1580517978301753,2.736734215744704,3.806243214476788,lag-only,RF
SCIA,,0.008902488912592507,0.00890248891259251,lag-only,RF
SIA,-0.32269974453104044,0.04832793439256861,0.15794736288386899,lag-only,RF
SOBRADINHO,0.03612564110224725,1.5808057897022434,2.147369960337795,lag-only,RF
SOBRADINHO II,-0.3203192760764755,2.013015572945272,2.685598510401382,lag-only,RF
SOL NASCENTE E POR DO SOL,,0.008902488912592507,0.00890248891259251,lag-only,RF
SUDOESTE/OCTOGONAL,0.018383028446542604,1.1790012726658157,1.4312737647540168,lag-only,RF
SÃO SEBASTIÃO,,0.008902488912592507,0.00890248891259251,lag-only,RF
TAGUATINGA,0.02916358862665802,2.607843398242911,3.332742532703667,lag-only,RF
VARJÃO,,0.008902488912592507,0.00890248891259251,lag-only,RF
VICENTE PIRES,-0.04543211163273719,2.261828000491623,3.0155270807202084,lag-only,RF
ÁGUAS CLARAS,,0.008902488912592507,0.00890248891259251,lag-only,RF
AGUA QUENTE,-0.41127951960765285,0.05165103156692707,0.16315044548643576,lag-only,XGB
ARAPOANGA,0.03812030759836316,1.0240933902991505,1.2884748168716533,lag-only,XGB
ARNIQUEIRA,-0.38713836826077164,0.575628781153892,0.7907849610522667,lag-only,XGB
BRAZLÂNDIA,,0.010148445144295692,0.010148445144295692,lag-only,XGB
CANDANGOLÂNDIA,,0.010148445144295692,0.010148445144295692,lag-only,XGB
CEILÂNDIA,,0.010148445144295692,0.010148445144295692,lag-only,XGB
CRUZEIRO,0.034794473935910175,1.1377859660066092,1.4566189531755898,lag-only,XGB
FERCAL,0.312643508279001,0.7579698995687068,1.186597306800788,lag-only,XGB
GAMA,0.19577251709079646,2.2706951269736657,3.0468207916775145,lag-only,XGB
GUARÁ,,0.010148445144295692,0.010148445144295692,lag-only,XGB
ITAPOÃ,,0.010148445144295692,0.010148445144295692,lag-only,XGB
JARDIM BOTÂNICO,,0.010148445144295692,0.010148445144295692,lag-only,XGB
LAGO NORTE,0.03163704827107516,1.396958731687986,1.6988550168678485,lag-only,XGB
LAGO SUL,0.19293985863495977,1.1018091822401261,1.4232740481252244,lag-only,XGB
NÚCLEO BANDEIRANTE,,0.010148445144295692,0.010148445144295692,lag-only,XGB
PARANOÁ,,0.010148445144295692,0.010148445144295692,lag-only,XGB
PARK WAY,-0.011290264938756067,0.44917597557203126,0.5926078032085205,lag-only,XGB
PLANALTINA,0.3380667981087623,1.818463112299259,2.5937959511561535,lag-only,XGB
PLANO PILOTO,0.6832117508444175,2.521309740268267,3.192481096732105,lag-only,XGB
RECANTO DAS EMAS,-0.16026195497995865,1.2660260028564012,1.5271245417029125,lag-only,XGB
RIACHO FUNDO,0.4319276940024719,0.5762120950608872,0.804403262613044,lag-only,XGB
RIACHO FUNDO II,0.04635903247777362,0.9658714164263353,1.2483923738307305,lag-only,XGB
SAMAMBAIA,-0.1349186030123859,1.4493904297168438,2.000188981817961,lag-only,XGB
SANTA MARIA,0.22511293661319498,2.6315904420155745,3.651514705833204,lag-only,XGB
SCIA,,0.010148445144295692,0.010148445144295692,lag-only,XGB
SIA,-0.41127951960765285,0.05165103156692707,0.16315044548643576,lag-only,XGB
SOBRADINHO,0.14347702579971588,1.5300677051910987,2.0242594155165183,lag-only,XGB
SOBRADINHO II,-0.11418228647695883,1.811992840698132,2.4670601046073544,lag-only,XGB
SOL NASCENTE E POR DO SOL,,0.010148445144295692,0.010148445144295692,lag-only,XGB
SUDOESTE/OCTOGONAL,0.0927823147802832,1.047080397605896,1.3759651531553423,lag-only,XGB
SÃO SEBASTIÃO,,0.010148445144295692,0.010148445144295692,lag-only,XGB
TAGUATINGA,0.08227179999883438,2.5631947884192834,3.2403041302054274,lag-only,XGB
VARJÃO,,0.010148445144295692,0.010148445144295692,lag-only,XGB
VICENTE PIRES,0.1193868401547602,2.164589985058858,2.767629178923116,lag-only,XGB
ÁGUAS CLARAS,,0.010148445144295692,0.010148445144295692,lag-only,XGB
AGUA QUENTE,-0.810343730207806,0.06104856074327313,0.18478310714622084,lag+clima,RF
ARAPOANGA,-0.00754991120495907,1.0170142607288004,1.318708608760896,lag+clima,RF
ARNIQUEIRA,-0.38480717884697047,0.5740503364739129,0.7901201951047998,lag+clima,RF
BRAZLÂNDIA,,0.014417469558941463,0.02167933404149362,lag+clima,RF
CANDANGOLÂNDIA,,0.014417469558941463,0.02167933404149362,lag+clima,RF
CEILÂNDIA,,0.014417469558941463,0.02167933404149362,lag+clima,RF
CRUZEIRO,-0.08205148088737535,1.2037830059255916,1.5422686071196752,lag+clima,RF
FERCAL,0.2196281952288366,0.785358936506742,1.2643378044699665,lag+clima,RF
GAMA,0.2368283895248542,2.2588963753530895,2.968031861515763,lag+clima,RF
GUARÁ,,0.014417469558941463,0.02167933404149362,lag+clima,RF
ITAPOÃ,,0.014417469558941463,0.02167933404149362,lag+clima,RF
JARDIM BOTÂNICO,,0.014417469558941463,0.02167933404149362,lag+clima,RF
LAGO NORTE,0.02715816530322024,1.4006680558064373,1.7027792659309149,lag+clima,RF
LAGO SUL,0.07612968884970528,1.1571678709754183,1.5227937530298252,lag+clima,RF
NÚCLEO BANDEIRANTE,,0.014417469558941463,0.02167933404149362,lag+clima,RF
PARANOÁ,,0.014417469558941463,0.02167933404149362,lag+clima,RF
PARK WAY,-0.12458262644259177,0.4567892996407922,0.6249210264394152,lag+clima,RF
PLANALTINA,0.2112517081288502,1.9725373346085755,2.831378573206552,lag+clima,RF
PLANO PILOTO,0.6497391672502653,2.621135071301394,3.3569091707799537,lag+clima,RF
RECANTO DAS EMAS,-0.26539709484221485,1.3740388683769913,1.5948132936933141,lag+clima,RF
RIACHO FUNDO,0.39104642720479843,0.6103236364376095,0.8328448528351139,lag+clima,RF
RIACHO FUNDO II,-0.2245532878218519,1.0276458238258004,1.4146451061007417,lag+clima,RF
SAMAMBAIA,-0.10108180026340996,1.4650078856827686,1.9701462452954188,lag+clima,RF
SANTA MARIA,0.16756208069375989,2.8533457283514965,3.784685325606506,lag+clima,RF
SCIA,,0.014417469558941463,0.02167933404149362,lag+clima,RF
SIA,-0.810343730207806,0.06104856074327313,0.18478310714622084,lag+clima,RF
SOBRADINHO,0.047972116196042025,1.5387395672207806,2.134133062703093,lag+clima,RF
SOBRADINHO II,-0.12198978061985888,1.831422258019652,2.475688823631838,lag+clima,RF
SOL NASCENTE E POR DO SOL,,0.014417469558941463,0.02167933404149362,lag+clima,RF
SUDOESTE/OCTOGONAL,0.037928641090439474,1.121654986182592,1.4169526063811275,lag+clima,RF
SÃO SEBASTIÃO,,0.014417469558941463,0.02167933404149362,lag+clima,RF
TAGUATINGA,0.11139837414541165,2.564396613675682,3.1884696516458404,lag+clima,RF
VARJÃO,,0.014417469558941463,0.02167933404149362,lag+clima,RF
VICENTE PIRES,0.059567188103586965,2.2416298939005737,2.860086721786666,lag+clima,RF
ÁGUAS CLARAS,,0.014417469558941463,0.02167933404149362,lag+clima,RF
AGUA QUENTE,-0.5228986024024131,0.0605830098754198,0.16947952513151232,lag+clima,XGB
ARAPOANGA,0.09412872520815552,0.9788292967356168,1.250399527786158,lag+clima,XGB
ARNIQUEIRA,-0.48119741925363657,0.5892083140671065,0.8171560162585917,lag+clima,XGB
BRAZLÂNDIA,,0.017106788414821494,0.026743003931329234,lag+clima,XGB
CANDANGOLÂNDIA,,0.017106788414821494,0.026743003931329234,lag+clima,XGB
CEILÂNDIA,,0.017106788414821494,0.026743003931329234,lag+clima,XGB
CRUZEIRO,0.01063527730644176,1.1587080670243057,1.4747359496490613,lag+clima,XGB
FERCAL,0.3387134713200469,0.7243740035964248,1.163877243337341,lag+clima,XGB
GAMA,0.22980892047416013,2.2329207337819614,2.981650240407894,lag+clima,XGB
GUARÁ,,0.017106788414821494,0.026743003931329234,lag+clima,XGB
ITAPOÃ,,0.017106788414821494,0.026743003931329234,lag+clima,XGB
JARDIM BOTÂNICO,,0.017106788414821494,0.026743003931329234,lag+clima,XGB
LAGO NORTE,0.06278404991631692,1.3723285014812763,1.6713102234665345,lag+clima,XGB
LAGO SUL,0.21941732237094635,1.087394947418943,1.3997324650689127,lag+clima,XGB
NÚCLEO BANDEIRANTE,,0.017106788414821494,0.026743003931329234,lag+clima,XGB
PARANOÁ,,0.017106788414821494,0.026743003931329234,lag+clima,XGB
PARK WAY,-0.0457931066646593,0.4599319410492451,0.6026322092041785,lag+clima,XGB
PLANALTINA,0.18580822582040224,1.9506540183837597,2.8766834876696925,lag+clima,XGB
PLANO PILOTO,0.6369147485646378,2.778384742828516,3.4178114996258357,lag+clima,XGB
RECANTO DAS EMAS,-0.20092219739529948,1.3127514484983225,1.5536524230481181,lag+clima,XGB
RIACHO FUNDO,0.4153241281962239,0.5747933577558098,0.8160741109540174,lag+clima,XGB
RIACHO FUNDO II,-0.0831864648905285,0.9832121168012515,1.330485878619845,lag+clima,XGB
SAMAMBAIA,-0.16156873078815415,1.4876689223142772,2.0235369049568,lag+clima,XGB
SANTA MARIA,0.18415153585298827,2.8521565107198863,3.7467834992396636,lag+clima,XGB
SCIA,,0.017106788414821494,0.026743003931329234,lag+clima,XGB
SIA,-0.5228986024024131,0.0605830098754198,0.16947952513151232,lag+clima,XGB
SOBRADINHO,0.10077921808957702,1.5099578247620509,2.074100649436179,lag+clima,XGB
SOBRADINHO II,-0.19430386605973005,1.9320863985384886,2.554224254156398,lag+clima,XGB
SOL NASCENTE E POR DO SOL,,0.017106788414821494,0.026743003931329234,lag+clima,XGB
SUDOESTE/OCTOGONAL,0.10834632248673759,1.0806605494939363,1.3641112293660647,lag+clima,XGB
SÃO SEBASTIÃO,,0.017106788414821494,0.026743003931329234,lag+clima,XGB
TAGUATINGA,0.09615424330095734,2.6394305366736193,3.2157027543915153,lag+clima,XGB
VARJÃO,,0.017106788414821494,0.026743003931329234,lag+clima,XGB
VICENTE PIRES,0.03813584398801606,2.243812762773954,2.8924921272390254,lag+clima,XGB
ÁGUAS CLARAS,,0.017106788414821494,0.026743003931329234,lag+clima,XGB
AGUA QUENTE,-0.5616371565952976,0.07293319973850144,0.17162154656812464,lag+clima+RA,RF
ARAPOANGA,-0.048846158279482355,1.0787662655527255,1.3454620503579913,lag+clima+RA,RF
ARNIQUEIRA,-0.31905801519231725,0.5849481514079939,0.7711350756682167,lag+clima+RA,RF
BRAZLÂNDIA,,0.0016801311425927205,0.00236674329376672,lag+clima+RA,RF
CANDANGOLÂNDIA,,0.0016801311425927205,0.00236674329376672,lag+clima+RA,RF
CEILÂNDIA,,0.0016801311425927205,0.00236674329376672,lag+clima+RA,RF
CRUZEIRO,-0.06859577721252585,1.1938162462503743,1.5326492730845847,lag+clima+RA,RF
FERCAL,0.1988279007632321,0.8068069227261686,1.2810770387906953,lag+clima+RA,RF
GAMA,0.20886350855334956,2.2962251318040896,3.021921398546203,lag+clima+RA,RF
GUARÁ,,0.0016801311425927205,0.00236674329376672,lag+clima+RA,RF
ITAPOÃ,,0.0016801311425927205,0.00236674329376672,lag+clima+RA,RF
JARDIM BOTÂNICO,,0.0016801311425927205,0.00236674329376672,lag+clima+RA,RF
LAGO NORTE,0.05366619076780199,1.378389400624991,1.679420353894405,lag+clima+RA,RF
LAGO SUL,0.08788734161281886,1.1728276559239394,1.5130727939398754,lag+clima+RA,RF
NÚCLEO BANDEIRANTE,,0.0016801311425927205,0.00236674329376672,lag+clima+RA,RF
PARANOÁ,,0.0016801311425927205,0.00236674329376672,lag+clima+RA,RF
PARK WAY,-0.04945155916145638,0.4646709165216285,0.6036853699627227,lag+clima+RA,RF
PLANALTINA,0.23718512319061802,1.9222582087644386,2.7844428109609156,lag+clima+RA,RF
PLANO PILOTO,0.6383580081787871,2.6874175466806536,3.411011855467299,lag+clima+RA,RF
RECANTO DAS EMAS,-0.2681562002365645,1.3580622687343342,1.5965510335621567,lag+clima+RA,RF
RIACHO FUNDO,0.3760868475578425,0.6249872951827457,0.8430126373761132,lag+clima+RA,RF
RIACHO FUNDO II,-0.17629616092623035,1.0412285879747327,1.3864908152398472,lag+clima+RA,RF
SAMAMBAIA,-0.10198123207002374,1.482096518659237,1.970950749770778,lag+clima+RA,RF
SANTA MARIA,0.16315253784126837,2.858667923011529,3.794696096038196,lag+clima+RA,RF
SCIA,,0.0016801311425927205,0.00236674329376672,lag+clima+RA,RF
SIA,-0.5440498749048421,0.09027781312748913,0.17065240245326785,lag+clima+RA,RF
SOBRADINHO,0.049386174946776884,1.5458355429239563,2.1325475466657533,lag+clima+RA,RF
SOBRADINHO II,-0.1235856557877888,1.8504809469987304,2.477448860347398,lag+clima+RA,RF
SOL NASCENTE E POR DO SOL,,0.0016801311425927205,0.00236674329376672,lag+clima+RA,RF
SUDOESTE/OCTOGONAL,0.04745455167233914,1.119795999319204,1.4099202059067157,lag+clima+RA,RF
SÃO SEBASTIÃO,,0.0016801311425927205,0.00236674329376672,lag+clima+RA,RF
TAGUATINGA,0.11927659369269583,2.5533329673777008,3.1743039176345254,lag+clima+RA,RF
VARJÃO,,0.0016801311425927205,0.00236674329376672,lag+clima+RA,RF
VICENTE PIRES,0.07222456798030008,2.228833268777123,2.8407744225711884,lag+clima+RA,RF
ÁGUAS CLARAS,,0.0016801311425927205,0.00236674329376672,lag+clima+RA,RF
AGUA QUENTE,-0.48617064929508924,0.059892388498365805,0.16742337193824575,lag+clima+RA,XGB
ARAPOANGA,0.07537548711344377,0.9922776815118806,1.2632760374363676,lag+clima+RA,XGB
ARNIQUEIRA,-0.44390483992367,0.5858996358628457,0.8068035402832081,lag+clima+RA,XGB
BRAZLÂNDIA,,0.016533303996906258,0.026942294416424876,lag+clima+RA,XGB
CANDANGOLÂNDIA,,0.016533303996906258,0.026942294416424876,lag+clima+RA,XGB
CEILÂNDIA,,0.016533303996906258,0.026942294416424876,lag+clima+RA,XGB
CRUZEIRO,0.023884549938473,1.1470156166201027,1.4648280584477222,lag+clima+RA,XGB
FERCAL,0.3515895329848441,0.7040818263082586,1.1524904819327648,lag+clima+RA,XGB
GAMA,0.21179227013397994,2.2826862037181854,3.016322684772864,lag+clima+RA,XGB
GUARÁ,,0.016533303996906258,0.026942294416424876,lag+clima+RA,XGB
ITAPOÃ,,0.016533303996906258,0.026942294416424876,lag+clima+RA,XGB
JARDIM BOTÂNICO,,0.016533303996906258,0.026942294416424876,lag+clima+RA,XGB
LAGO NORTE,0.05806809487960607,1.376670204102993,1.67550986050953,lag+clima+RA,XGB
LAGO SUL,0.20049172222845946,1.1127493357679878,1.4165994317946897,lag+clima+RA,XGB
NÚCLEO BANDEIRANTE,,0.016533303996906258,0.026942294416424876,lag+clima+RA,XGB
PARANOÁ,,0.016533303996906258,0.026942294416424876,lag+clima+RA,XGB
PARK WAY,-0.004830870262803488,0.444442779945138,0.5907121952563245,lag+clima+RA,XGB
PLANALTINA,0.18307547993579698,1.9722609359484453,2.8815070807747314,lag+clima+RA,XGB
PLANO PILOTO,0.6380631598235663,2.7727376979130964,3.4124020788749494,lag+clima+RA,XGB
RECANTO DAS EMAS,-0.20973490303317321,1.3222589779358644,1.5593425728844663,lag+clima+RA,XGB
RIACHO FUNDO,0.4138138494346545,0.5794386520731047,0.8171274334569021,lag+clima+RA,XGB
RIACHO FUNDO II,-0.06730508565828552,0.9856573397007126,1.3206962556454915,lag+clima+RA,XGB
SAMAMBAIA,-0.14334346856109081,1.479108947973985,2.0075992778258915,lag+clima+RA,XGB
SANTA MARIA,0.12069173180366588,2.9608671275468974,3.8897745207122085,lag+clima+RA,XGB
SCIA,,0.016533303996906258,0.026942294416424876,lag+clima+RA,XGB
SIA,-0.39569033132357245,0.05915124656614633,0.16224685208776737,lag+clima+RA,XGB
SOBRADINHO,0.1390694865030333,1.4762299886116614,2.029461000764258,lag+clima+RA,XGB
SOBRADINHO II,-0.19536874848579333,1.9256067926673075,2.5553627175608877,lag+clima+RA,XGB
SOL NASCENTE E POR DO SOL,,0.016533303996906258,0.026942294416424876,lag+clima+RA,XGB
SUDOESTE/OCTOGONAL,0.11336132862752957,1.079157843039586,1.3602696748156038,lag+clima+RA,XGB
SÃO SEBASTIÃO,,0.016533303996906258,0.026942294416424876,lag+clima+RA,XGB
TAGUATINGA,0.05211126268315558,2.6711605970676127,3.2931189453431857,lag+clima+RA,XGB
VARJÃO,,0.016533303996906258,0.026942294416424876,lag+clima+RA,XGB
VICENTE PIRES,0.014287059182279349,2.28365303002871,2.928131281009903,lag+clima+RA,XGB
ÁGUAS CLARAS,,0.016533303996906258,0.026942294416424876,lag+clima+RA,XGB
AGUA QUENTE,-0.2681832354248539,0.03837191292215026,0.1546581277106472,lag+clima+RA+incid-target,RF
ARAPOANGA,-0.023285201608795436,1.0753257438363526,1.328966102221438,lag+clima+RA+incid-target,RF
ARNIQUEIRA,-0.5485503127753102,0.6439436440330888,0.8355283094810102,lag+clima+RA+incid-target,RF
BRAZLÂNDIA,,0.0010254980618145104,0.0014474172324409746,lag+clima+RA+incid-target,RF
CANDANGOLÂNDIA,,0.00041200812603533056,0.0005706368745514318,lag+clima+RA+incid-target,RF
CEILÂNDIA,,0.007033985643509373,0.009927968089128788,lag+clima+RA+incid-target,RF
CRUZEIRO,0.08747346597261563,1.0922430298041121,1.416311584812189,lag+clima+RA+incid-target,RF
FERCAL,0.2513094601056277,0.809319422944826,1.2384073238962134,lag+clima+RA+incid-target,RF
GAMA,0.3107035604831745,2.175375604186745,2.820723216451953,lag+clima+RA+incid-target,RF
GUARÁ,,0.0031346915212146905,0.004424393077998264,lag+clima+RA+incid-target,RF
ITAPOÃ,,0.0016419443838098526,0.0023174871648523193,lag+clima+RA+incid-target,RF
JARDIM BOTÂNICO,,0.0018406965163727555,0.002598011597191981,lag+clima+RA+incid-target,RF
LAGO NORTE,0.10279463416716783,1.295178268700916,1.635246263239095,lag+clima+RA+incid-target,RF
LAGO SUL,0.09523606035108445,1.188583552012838,1.5069651968233475,lag+clima+RA+incid-target,RF
NÚCLEO BANDEIRANTE,,0.0007403333329861746,0.0011450165340116272,lag+clima+RA+incid-target,RF
PARANOÁ,,0.001360955832938036,0.0019208919046615211,lag+clima+RA+incid-target,RF
PARK WAY,0.13322294782170652,0.4247951519879447,0.5486345516827029,lag+clima+RA+incid-target,RF
PLANALTINA,0.2963129709960295,1.989697277221558,2.674351565086759,lag+clima+RA+incid-target,RF
PLANO PILOTO,0.6171056669093107,2.632054299535166,3.50980729228873,lag+clima+RA+incid-target,RF
RECANTO DAS EMAS,-0.4686432254852473,1.4712580742817138,1.7181243138183706,lag+clima+RA+incid-target,RF
RIACHO FUNDO,0.2637704845193922,0.6839085025527919,0.9157535834608579,lag+clima+RA+incid-target,RF
RIACHO FUNDO II,-0.2486997591685387,1.1240252587522745,1.4285244274614997,lag+clima+RA+incid-target,RF
SAMAMBAIA,-0.6993576851819412,2.098447682204448,2.447547185355024,lag+clima+RA+incid-target,RF
SANTA MARIA,0.16913494195387357,2.942824886353949,3.781108122223118,lag+clima+RA+incid-target,RF
SCIA,,0.0009795221663226016,0.001374449561706646,lag+clima+RA+incid-target,RF
SIA,-0.04221969323801278,0.03885840511482146,0.1402043156658819,lag+clima+RA+incid-target,RF
SOBRADINHO,0.12481209123091386,1.540087014823102,2.0461963908818785,lag+clima+RA+incid-target,RF
SOBRADINHO II,-0.24599340644109535,2.018799416080104,2.608912283162416,lag+clima+RA+incid-target,RF
SOL NASCENTE E POR DO SOL,,0.0026633754105122353,0.0037591640678617394,lag+clima+RA+incid-target,RF
SUDOESTE/OCTOGONAL,0.10013955711057387,1.08509450712828,1.370374479013365,lag+clima+RA+incid-target,RF
SÃO SEBASTIÃO,,0.0024266400750271406,0.0034250290588666663,lag+clima+RA+incid-target,RF
TAGUATINGA,0.026492281953338304,2.804722602022845,3.3373244898498555,lag+clima+RA+incid-target,RF
VARJÃO,,0.003653125630990974,0.006471813509885344,lag+clima+RA+incid-target,RF
VICENTE PIRES,0.14170482309302834,2.095776081467494,2.7323331491940914,lag+clima+RA+incid-target,RF
ÁGUAS CLARAS,,0.003475717257075058,0.00490572653455963,lag+clima+RA+incid-target,RF
AGUA QUENTE,-0.09161717183449358,0.03263858308577462,0.14348844324373836,lag+clima+RA+incid-target,XGB
ARAPOANGA,0.07013578068801296,0.9982083169375675,1.2668503773232476,lag+clima+RA+incid-target,XGB
ARNIQUEIRA,-0.41932404812053714,0.5871746848933823,0.7999066177605858,lag+clima+RA+incid-target,XGB
BRAZLÂNDIA,,0.01297863892400955,0.01739851661030701,lag+clima+RA+incid-target,XGB
CANDANGOLÂNDIA,,0.00495521709741306,0.006371346819851099,lag+clima+RA+incid-target,XGB
CEILÂNDIA,,0.08524512983576547,0.11439588902382995,lag+clima+RA+incid-target,XGB
CRUZEIRO,0.06687893697143676,1.1193801264111813,1.4322045631613882,lag+clima+RA+incid-target,XGB
FERCAL,0.3002964957295948,0.782872515709651,1.1972073196322888,lag+clima+RA+incid-target,XGB
GAMA,0.30408861607285254,2.213058078226906,2.8342256617550388,lag+clima+RA+incid-target,XGB
GUARÁ,,0.03798944144385549,0.05098045994957519,lag+clima+RA+incid-target,XGB
ITAPOÃ,,0.020501595471294983,0.027417982284704684,lag+clima+RA+incid-target,XGB
JARDIM BOTÂNICO,,0.02230746855038384,0.029935818053286815,lag+clima+RA+incid-target,XGB
LAGO NORTE,0.013672798032393962,1.3967304355036754,1.714540465873783,lag+clima+RA+incid-target,XGB
LAGO SUL,0.06459000592115016,1.1814580953536125,1.5322745340545099,lag+clima+RA+incid-target,XGB
NÚCLEO BANDEIRANTE,,0.007690790597636402,0.009888707851361938,lag+clima+RA+incid-target,XGB
PARANOÁ,,0.016993124868488925,0.022725899418820906,lag+clima+RA+incid-target,XGB
PARK WAY,0.024585180509444138,0.4097541588668217,0.58200153123516,lag+clima+RA+incid-target,XGB
PLANALTINA,0.24413536929036717,1.9538050098157846,2.7717288175860557,lag+clima+RA+incid-target,XGB
PLANO PILOTO,0.6829473903143641,2.524868051087679,3.1938128853917207,lag+clima+RA+incid-target,XGB
RECANTO DAS EMAS,-0.28688315285818633,1.3294268758800856,1.6082960239060236,lag+clima+RA+incid-target,XGB
RIACHO FUNDO,0.39066931057366394,0.5840203113999155,0.833102697642937,lag+clima+RA+incid-target,XGB
RIACHO FUNDO II,-0.144142906507138,1.0484291250499231,1.3674101313804912,lag+clima+RA+incid-target,XGB
SAMAMBAIA,-0.7089361205162341,1.9271350721304008,2.4544352967680747,lag+clima+RA+incid-target,XGB
SANTA MARIA,0.19071085100068363,2.913298396967008,3.7316912780420965,lag+clima+RA+incid-target,XGB
SCIA,,0.011796924367462141,0.01581436896114967,lag+clima+RA+incid-target,XGB
SIA,-0.026042226660218937,0.0276055364523828,0.13911192542602657,lag+clima+RA+incid-target,XGB
SOBRADINHO,0.05112878184821901,1.5983079493609758,2.1305920224502133,lag+clima+RA+incid-target,XGB
SOBRADINHO II,-0.11774869865557913,1.9157849716104283,2.4710053852322393,lag+clima+RA+incid-target,XGB
SOL NASCENTE E POR DO SOL,,0.03227754422274122,0.04331529993537856,lag+clima+RA+incid-target,XGB
SUDOESTE/OCTOGONAL,0.04947967731625236,1.1080885910234082,1.4084206529093373,lag+clima+RA+incid-target,XGB
SÃO SEBASTIÃO,,0.029408540014755385,0.03946519978751124,lag+clima+RA+incid-target,XGB
TAGUATINGA,0.014014406572817828,2.7797651994814316,3.3586443666464976,lag+clima+RA+incid-target,XGB
VARJÃO,,0.003722312484729068,0.004463242020076941,lag+clima+RA+incid-target,XGB
VICENTE PIRES,0.027901165796249683,2.138501501061641,2.9078401328718733,lag+clima+RA+incid-target,XGB
ÁGUAS CLARAS,,0.04212234483662536,0.056526667208293566,lag+clima+RA+incid-target,XGB
